word,translation,toeic_target,sentence,trans_s
article,n. 文章；冠詞,中級,1. I read an interesting article about space travel. 2. “The” is a definite article.,1. 我讀了一篇關於太空旅行的有趣文章。 2. 「The」是定冠詞。
attempt,n./v. 企圖；嘗試,中級,1. His attempt to break the record failed. 2. She attempted to lift the heavy box by herself.,1. 他打破紀錄的嘗試失敗了。 2. 她試圖獨自搬動那個沉重的箱子。
attend,v. 參加；照顧,中級,1. She will attend the meeting tomorrow morning. 2. The nurse attended the patient all night.,1. 她明天上午會參加會議。 2. 護士整夜都在照顧病人。
author,n. 作者；發起人 v. 創作；發起,中級,1. J.K. Rowling is the author of the Harry Potter series. 2. He was the author of the new company policy. 3. She authored several best-selling novels,1. J·K·羅琳是《哈利波特》系列的作者。 2. 他是新公司政策的製定者。 3. 她創作了多部暢銷小說。
average,adj. 平均的；一般的 n. 平均；平均數 v. 平均為...；使平衡,中級,"1. He’s just an average student, not particularly good or bad. 2. The average of 80, 90, and 100 is 90. 3. She averages 8 hours of sleep per night.",1. 他只是個普通學生，既不特別好也不特別差。 2. 80、90 和 100 的平均數是 90。3. 她平均每晚睡 8 小時。
backward,adv. 向後地 adj. 倒退的；落後的,初級,1. He took a step backward to avoid the falling object. 2. The company experienced backward movement in sales last quarter. 3. The region is still backward in terms of technology.,1. 他退後一步躲避掉落的物體。 2. 該公司上季銷售額出現下滑。 3. 該地區在技術方面仍落後。
balance,n. 平衡，均衡；餘額 v. 平衡,中級,1. She lost her balance and fell. 2. I checked my bank account balance online. 3. He balanced the books to avoid mistakes.,1. 她失去平衡跌倒了。 2. 我在網路上查詢了我的銀行帳戶餘額。 3. 他核對了帳目以避免出錯。
bar,n. 棒；沙洲；酒吧 v. 阻塞；禁止,初級,1. He ate a chocolate bar. 2. We met at a bar for drinks after work. 3. The fence acted as a bar to keep people out.,1. 他吃了一塊巧克力。 2. 我們下班後在酒吧見面喝酒。 3. 這道柵欄起到了屏障的作用，阻止人們進入。
basics,n. 基礎；基本原理,初級,"1. Before advanced lessons, you need to understand the basics. 2. The class covers the basics of computer programming.",1. 在學習高階課程之前，你需要掌握基礎知識。 2. 本課程涵蓋電腦程式設計的基礎知識。
basis,n. 基礎；根據；原因,中級,1. Trust is the basis of a good relationship. 2. Decisions were made on the basis of available data.,1. 信任是良好關係的基礎。 2. 所有決策均基於現有數據。
battle,n. 戰鬥；爭論，爭鬥 v. 與...作戰,中級,1. The soldiers fought bravely in the battle. 2. The two companies are in a battle for market share. 3. She is battling a serious illness.,1. 士兵們在戰鬥中英勇作戰。 2. 這兩家公司正在爭奪市場佔有率。 3. 她正在與重病奮戰。
beg,v. 乞求；乞討,初級,1. He begged her to stay. 2. The homeless man begged for money on the street.,1. 他懇求她留下。 2. 那個無家可歸的男人在街頭乞討。
being,n. 存在；生物,中級,1. Human beings have the ability to think 2. Aliens are fictional beings in many movies.,1. 人類有思考的能力。 2. 外星人是許多電影中的虛構生物。
belief,n. 信念，信條；看法,中級,1. Her belief in honesty is very strong. 2. There is a common belief that exercise improves health.,1. 她非常重視誠實。 2. 人們普遍認為運動有益健康。
bend,v. 使彎曲 n. 彎；曲,初級,1. Be careful not to bend the metal rod. 2. The car slowed down as it approached the bend in the road.,1. 注意不要彎曲金屬桿。 2. 汽車在接近道路彎道時減速。
better,adj. 較好的 adv. 更好地；更適當地 n. 更好的狀況 v. 改進,初級,1. This restaurant has better food than the one we went to last week. 2. He knows better than to lie. 3. She is trying to better her English skills.,1. 這家餐廳的食物比我們上週去的那家好。 2. 他很清楚說謊是不對的。 3. 她正在努力提升自己的英語能力。
billion,n. 十億；大量,中級,1. The company is worth over five billion dollars.,1. 該公司市值超過50億美元。
birth,n. 出生；分娩；誕生,初級,1. The baby’s birth was a joyful event for the family. 2. She gave birth to a healthy baby last night. 3. The birth of the Internet changed the world.,1. 孩子的出生對這個家庭來說是一件喜事。 2. 她昨晚生下了一個健康的寶寶。 3. 網路的誕生改變了世界。
biscuit,n. 小麵包(美式)；餅乾(英式),初級,She bought a pack of chocolate biscuits.,她買了一包巧克力餅乾。
bit,n. 一點；部分，片段 v. 咬,初級,1. Can you give me a bit of sugar? 2. I only saw a bit of the movie. 3. The dog bit the mailman.,1. 你能給我一點糖嗎？ 2. 我只看了電影的一小部分。 3. 狗咬了郵差。
border,n. 邊界，國界；邊緣 v. 與...相鄰，接壤,中級,1. The river forms the border between the two countries. 2. There is a decorative border around the picture frame. 3. Canada borders the United States to the south.,1. 這條河構成了兩國之間的邊界。 2. 相框周圍有一圈裝飾用的邊框。 3. 加拿大南部與美國接壤。
brain,n. 腦袋；智力,初級,1. The brain controls all the functions of the body. 2. She is the brain behind the successful project.,1. 大腦控制身體的所有功能。 2. 她是這個成功計畫的幕後功臣。
brand,n. 商標；烙印 v. 烙印；給...貼標籤,中級,"1. Nike is a well-known sports brand. 2. In the past, criminals were branded as punishment. 3. He was branded a liar after the scandal.",1. 耐吉是一個知名的運動品牌。 2. 過去，罪犯會被烙印作為懲罰。 3. 醜聞曝光後，他被指責為騙子。
brief,adj. 短暫的 n. 概要，簡報 v. 向...簡單說明,中級,1. We had a brief conversation before the meeting started. 2. The lawyer gave the judge a written brief. 3. The manager briefed the team on the new project.,1. 會議開始前我們進行了簡短的對話。 2. 律師向法官提交了一份書面陳述。 3. 經理向團隊簡要介紹了新專案。
brilliant,adj. 光輝的；傑出的,中級,1. The stars looked brilliant in the night sky. 2. She's a brilliant scientist with many important discoveries.,1. 夜空中繁星璀璨。 2. 她是一位傑出的科學家，有許多重要發現。
burden,n. 重擔；負擔 v. 使...有負擔,中級,1. Taking care of his sick parents is a heavy burden for him. 2. I don’t want to burden you with my problems.,1. 照顧生病的父母對他來說是個沉重的負擔。 2. 我不想讓我的問題成為你的負擔。
camel,n. 駱駝,初級,The camel can survive in the desert for a long time.,駱駝可以在沙漠中長時間生存。
capital,n. 首都；大寫字母；資本 adj. 首要的；大寫字母的；資本的,中級,1. Paris is the capital of France. 2. Please write your name in capital letters. 3. He invested a large amount of capital in his new business. 4. Education is of capital importance to a country's future.,1. 巴黎是法國的首都。 2. 請用大寫字母寫出你的名字。 3. 他在新公司投入了大量資金。 4. 教育對一個國家的未來至關重要。
cell,n. 牢房；細胞；電池,中級,1. The prisoner was locked in a small cell for the night. 2. The human body is made up of trillions of cells. 3. The flashlight needs two AA cells to work.,1. 這名囚犯當晚被關在一個小牢房裡。 2. 人體由數兆個細胞組成。 3. 這支手電筒需要兩顆AA電池才能運作。
chain,n. 鏈，鏈條；連鎖店；一連串 v. 拘禁；束縛,中級,1. He wore a gold chain around his neck. 2. This is a popular fast-food chain with stores all over the world. 3. The accident caused a chain of delays on the highway. 4. He chained his bike to the post.,1. 他脖子上戴著一條金項鍊。 2. 這是一家在世界各地都有分店的知名速食連鎖店。 3. 這起事故導致高速公路上出現一系列交通延誤。 4. 他用鏈條把腳踏車鎖在了柱子上。
challenge,n. 挑戰 v. 向...挑戰；質疑,中級,1. Climbing the mountain was a real challenge for him. 2. She challenged him to a game of chess. 3. He challenged the decision made by the manager.,1. 對他來說，攀登這座山峰真是個挑戰。 2. 她向他發起了下棋的挑戰。 3. 他對經理所做的決定提出了質疑。
chapter,n. 章，回；時期，階段,初級,1. I just finished reading Chapter 5 of the novel. 2. Moving to a new city was an exciting chapter in her life.,1. 我剛讀完這本小說的第五章。 2. 搬到新城市是她人生中一段令人興奮的篇章。
chemical,adj. 化學的 n. 化學製品,中級,1. The factory was shut down due to a chemical leak. 2. Some cleaning products contain harmful chemicals.,1. 由於化學品洩漏，工廠停產了。 2. 有些清潔產品含有有害化學物質。
chief,adj. 為首的；主要的 n. 領袖,中級,1. His chief reason for quitting was the long working hours. 2. The chief of the tribe welcomed the visitors warmly.,1. 他辭職的主要原因是工作時間太長。 2. 部落首領熱情地歡迎了來訪者。
china,n. 瓷器,初級,She collects antique china from the 18th century.,她收藏18世紀的古董瓷器。
chopstick(s),n. 筷子,初級,She dropped her chopsticks on the floor.,她把筷子掉在地上了。
claim,n./v. 主張，聲稱；要求,中級,1. He claims that he was not at the scene of the accident. 2.The company made a claim for insurance. 3. She claimed compensation for the damaged goods.,1. 他聲稱事發時他不在現場。 2. 該公司已向保險公司提出索賠。 3. 她要求賠償受損貨物。
classic,adj. 典型的 n. 古典著作,中級,1. This novel is a classic example of 19th-century literature 2. Pride and Prejudice” is considered a classic in English literature.,1. 這部小說是19世紀文學的經典。 2.《傲慢與偏見》被認為是英國文學的經典。
click,v. 點擊 n. 喀噠聲,初級,1. Click the button to start the game. 2. He heard a click as the door locked.,1. 點擊按鈕開始遊戲。 2. 他聽到喀嚓一聲，門鎖上了。
cloth,n. 布料，衣料,初級,She wiped the table with a clean cloth.,她用乾淨的抹布擦拭了桌子。
clothing,n. 衣服；覆蓋物,初級,The organization provided food and clothing for the victims.,該組織為受害者提供了食物和衣物。
coal,n. 煤礦,初級,Coal is used as a source of energy.,煤炭被用作能源。
cockroach/roach,n. 蟑螂,初級,I saw a cockroach in the kitchen last night.,昨晚我在廚房裡看到了一隻蟑螂。
cocoa,n. 可可豆,初級,I like drinking hot cocoa in winter.,冬天我喜歡喝熱可可。
cola/Coke,n. 可樂,初級,I ordered a glass of cola.,我點了一杯可樂。
combine,v. 結合,中級,She combines creativity with hard work to achieve success.,她將創造力與勤奮結合，從而取得了成功。
comic(s),adj. 喜劇的 n. 漫畫，喜劇演員,初級,1. The movie had a lot of comic moments 2. He enjoys reading Japanese comics. 3. The comic made the audience laugh nonstop.,1. 這部電影有很多搞笑橋段。 2. 他喜歡看日本漫畫。 3. 這部漫畫讓觀眾笑個不停。
commercial,adj. 商業的 n. 電視廣告,中級,1. The city is a major commercial center. 2. We watched a funny commercial during the Super Bowl.,1. 這座城市是重要的商業中心。 2. 我們在超級盃比賽期間看了一則有趣的廣告。
complex,adj. 複雜的 n. 複合物，心理情結,中級,1. This math problem is very complex. 2. They live in a large apartment complex. 3. He has a superiority complex.,1. 這道數學題非常複雜。 2. 他們住在一棟大型公寓大樓裡。 3. 他有優越感。
conclude,v. 結束；推斷,中級,"1. The meeting concluded at 5 p.m. 2. From the evidence, we can conclude that he is innocent.",1. 會議於下午5點結束。 2. 根據證據，我們可以得出結論，他是無辜的。
condition,n. 情況；條件；健康狀態 v. 決定；為...的條件,中級,1. The car is in good condition. 2. She works hard under difficult conditions 3. He suffers from a heart condition. 4. Your success conditions your future opportunities.,1. 這輛車車況良好。 2. 她在艱苦的條件下努力工作。 3. 他患有心臟病。 4. 你的成功決定了你未來的機會。
conflict,n./v. 衝突,中級,1.There was a conflict between the two countries. 2.Their stories conflict with each other.,1.兩國之間曾發生衝突。 2.他們的說法相互矛盾。
congratulation(s),n. 祝賀,初級,Congratulations on your graduation!,恭喜你畢業！
connection,n. 連接；關聯,中級,1. The internet connection is very slow today. 2. She has a connection to the company through her uncle.,1. 今天的網路連線速度很慢。 2. 她透過她叔叔與這家公司有聯繫。
consideration,n. 考慮；體貼；動機,高級,"1. After careful consideration, she decided to accept the job offer. 2.He showed great consideration for the elderly.",1. 經過仔細考慮，她決定接受這份工作。 2. 他對老人家非常體貼。
contact,n./v. 接觸；聯繫,中級,1. Do you have the contact information for the new client? 2. Please contact me if you have any questions.,1. 您有新客戶的聯絡方式嗎？ 2. 如有任何疑問，請與我聯絡。
contain,v. 包含；容納；控制,中級,"1. This box contains old photographs. 2. The stadium can contain 50,000 spectators. 3. Firefighters worked hard to contain the wildfire.",1. 這個盒子裡裝的是舊照片。 2. 這座體育場可容納5萬名觀眾。 3. 消防員們努力控制了這場山火。
countryside,n. 鄉村,初級,They spent the weekend relaxing in the countryside.,他們週末在鄉間放鬆身心。
crisis,n. 危機,中級,The company faced a financial crisis last year.,該公司去年面臨財務危機。
crow,n. 烏鴉；雞啼聲,初級,A crow was sitting on the tree branch.,一隻烏鴉棲息在樹枝上。
cultural,adj. 文化的；教養的,中級,The festival is a celebration of the city’s cultural heritage.,這個節日是對這座城市文化遺產的慶祝。
cycle,n. 週期 v. 循環，輪轉,中級,The water cycle is essential for life on Earth.,水循環對地球上的生命至關重要。
dancer,n. 舞者,初級,She wants to become a professional dancer.,她想成為一名職業舞蹈演員。
data,n. 資料，數據,中級,"The researchers collected data from over 1,000 participants.",研究人員收集了超過 1000 名參與者的數據。
debt,n. 債,中級,He is trying to pay off all his credit card debt.,他正在努力償還所有信用卡債務。
delay,n./v. 延緩,中級,1. There was a long delay before the train arrived. 2. They decided to delay the meeting until next week.,1. 火車晚點了很久才到。 2. 他們決定把會議延後到下週。
delivery,n. 運送，投遞，交貨；分娩,中級,1. The delivery will arrive in two days. 2. She had a smooth delivery last night.,1. 貨物將在兩天內送達​​。 2. 她昨晚生產很順利。
deny,v. 否定，否認；不允許,中級,1. He denied stealing the money. 2. They denied him access to the building.,1. 他否認偷了錢。 2. 他們拒絕他進入大樓。
depth,n. 深度(實體或抽象),中級,1. The pool has a depth of two meters. 2. Her speech showed great depth of understanding.,1. 泳池深兩公尺。 2. 她的演講展現了極深的理解力。
description,n. 描述，說明,中級,He gave a clear description of the suspect.,他詳細描述了嫌疑人的外貌特徵。
detail,n. 細節，詳情 v. 詳述,中級,1. She explained every detail of the plan. 2. The witness detailed what happened that night.,1. 她詳細解釋了計畫的每一個細節。 2. 證人詳細描述了當晚發生的事。
development,n. 發展；進展,中級,1. The development of new technology has changed our lives. 2. There has been a recent development in the investigation.,1. 新科技的發展改變了我們的生活。 2. 這項調查最近有了新的進展。
dialogue,n. 對話,中級,The book begins with a dialogue between a teacher and a student.,這本書以老師和學生之間的對話開頭。
director,n. 主管；導演,中級,1. She is the marketing director of the company. 2. The movie was directed by a famous director.,1. 她是這家公司的市場總監。 2. 這部電影是由一位著名導演執導的。
disagree,v. 不同意；(意見、觀點)不一致,初級,1. I disagree with your opinion. 2. They often disagree about how to raise their children.,1. 我不同意你的觀點。 2. 他們在如何教育孩子方面經常意見不合。
disagreement,n. 不同意；不一致；意見分歧,中級,1. There is a disagreement between the reports. 2. They had a serious disagreement about money.,1. 兩份報告之間存在分歧。 2. 他們在金錢問題上產生了嚴重分歧。
discovery,n. 發現；被發現的事物,中級,1. The discovery of penicillin changed modern medicine. 2. This fossil is an important discovery for scientists.,1. 青黴素的發現改變了現代醫學。 2. 這塊化石對科學家來說是個重要的發現。
disease,n. 疾病,中級,Heart disease is one of the leading causes of death worldwide.,心臟病是全球主要死因之一。
display,n. 陳列；顯示；展示；顯示器 v. 陳列；顯示；展示,中級,1. The store displays the newest products in the front window. 2. The monitor displays the results instantly. 3. There was a beautiful flower display at the entrance. 4.The display on this phone is very clear.,1. 商店在櫥窗裡展示最新產品。 2. 顯示器立即顯示結果。 3. 入口處擺放著美麗的花卉。 4. 這款手機的顯示器非常清晰。
division,n. 分割，劃分；部門，分支；除法,中級,1. The division of the land caused many arguments. 2. He works in the marketing division of the company. 3. Division is one of the four basic math operations.,1. 土地分割引發了許多爭論。 2. 他在公司的行銷部工作。 3. 除法是四則運算之一。
domestic,adj. 家庭的；國內的；馴養的,中級,1. She left her job to focus on domestic responsibilities. 2. The airline only offers domestic flights. 3. Dogs and cats are common domestic animals.,1. 她辭職是為了專心照顧家庭。 2. 這家航空公司只提供國內航班。 3. 狗和貓是常見的家養動物。
dove,n. 鴿子,初級,A white dove is often a symbol of peace.,白鴿通常是和平的象徵。
drawing,n. 圖畫；繪畫(行為)；抽籤,初級,1. She showed me a beautiful pencil drawing of a cat. 2. Drawing helps children develop creativity. 3. They held a drawing to decide who would go first.,1. 她給我看了一幅很漂亮的貓的鉛筆畫。 2. 畫畫有助於孩子培養創造力。 3. 他們透過抽籤決定誰先來。
drug,n. 藥品；毒品 v. 服麻醉藥；吸毒；給...服藥,中級,1. The doctor prescribed a new drug for her illness. 2. He was arrested for possession of illegal drugs. 3. The patient was drugged before the surgery.,1. 醫生開了治療疾病的新藥給她。 2. 他因持有非法毒品被捕。 3. 病人在手術前被注射了藥物。
due,adj. 到期的；應支付的；應得的 adv. 正向 n. 應得之物；應付款,中級,1. The payment is due next Monday. 2. She received the due respect for her hard work.,1. 付款截止日期是下週一。 2. 她辛勤工作，得到了應有的尊重。
dull,adj. 單調的，無聊的；鈍的；遲鈍的 v. 使遲鈍,中級,1. The movie was so dull that I fell asleep. 2. This knife is too dull to cut the meat.,1. 這部電影太無聊了，我睡著了。 2. 這把刀太鈍了，切不動肉。
earring(s),n. 耳環,初級,She is wearing gold earrings.,她戴著金耳環。
eastern,adj. 東方的,初級,The eastern part of the country is known for its beautiful landscapes.,該國東部地區以其美麗的風景而聞名。
edition,n. 發行數；版本,中級,This is the latest edition of the textbook.,這是該教材的最新版本。
effect,n. 結果；作用；影響 v. 造成；招致,中級,1. The medicine had a positive effect on her health. 2. The new law will effect significant changes in the industry.,1. 這種藥對她的健康有正面作用。 2. 新法將對該行業產生重大影響。
effective,adj. 有效的；生效的；有影響力的,中級,1. The new medicine is very effective in treating headaches. 2. The policy will be effective starting next month.,1. 這種新藥治療頭痛非常有效。 2. 這項政策將於下個月生效。
electrical,adj. 電的,中級,The electrical system in the house needs to be repaired.,房子裡的電路系統需要維修。
employee,n. 雇員,中級,The company has over 500 employees.,該公司擁有超過500名員工。
employer,n. 雇主,中級,The employer provides health insurance to all employees.,雇主為所有員工提供醫療保險。
employment,n. 雇用；就業；工作,中級,He is looking for employment in the tech industry.,他正在尋找科技業的工作。
empty,adj. 空的；未佔用的；空虛的 v. 倒空；使變空,初級,1. The box is empty. 2. He felt empty after the argument. 3. Please empty the trash can.,1. 盒子是空的。 2. 爭吵後他感到很空虛。 3. 請清空垃圾桶。
encourage,v. 鼓勵,中級,My parents always encourage me to do my best,我的父母總是鼓勵我做到最好。
encouragement,n. 鼓勵,中級,Thank you for your encouragement.,謝謝你的鼓勵。
ending,n. 結局,初級,The movie had a surprising ending.,這部電影的結局出人意料。
entire,adj. 全部的，整個的,中級,He ate the entire cake by himself.,他一個人把整個蛋糕都吃光了。
environmental,adj. 環境的,中級,We must take environmental problems seriously.,我們必須認真看待環境問題。
escape,n./v. 逃跑；逃脫,中級,1. The prisoner tried to escape from jail. 2. Their only escape was through the window.,1. 這名囚犯試圖越獄。 2. 他們唯一的逃生路徑是從窗戶逃走。
essay,n. 文章；散文；論文,中級,I wrote an essay about my summer vacation.,我寫了一篇關於暑假的文章。
exact,adj. 精確的 v. 強求，勒索,中級,1. I need the exact time of the meeting. 2. The kidnappers exacted a large ransom.,1. 我需要會議的確切時間。 2. 綁匪索要了巨額贖金。
examination/exam,n. 考試,初級,The students are preparing for their final examination.,學生們正在準備期末考。
examine,v. 檢查；調查；考試,中級,1. The doctor examined the patient carefully. 2. We need to examine the evidence before making a decision. 3. The teacher will examine the students next week.,1. 醫生仔細檢查了病人。 2. 我們需要在做決定前檢討證據。 3. 老師下週將對學生進行考核。
excitement,n. 興奮；激動；刺激,中級,1. The children showed great excitement on Christmas morning. 2. There was a lot of excitement before the big game.,1. 聖誕節早上，孩子們表現得非常興奮。 2. 大賽開始前，大家都很興奮。
existence,n. 存在,高級,The existence of life on other planets is still unknown.,其他星球上是否存在生命仍是個謎。
expense,n. 費用；經費；代價,中級,The trip was cancelled because of the high expense.,由於費用過高，這次旅行被取消了。
expert,n. 專家 adj. 有經驗的；專業的,中級,1. She is an expert in computer science. 2. He gave an expert analysis of the situation.,1. 她是電腦科學專家。 2. 他對情況進行了專業的分析。
expression,n. 表情；表示,中級,1. Her facial expression showed surprise. 2. This painting is an expression of the artist's feelings.,1. 她臉上露出驚訝的表情。 2. 這幅畫表達了藝術家的情感。
eyebrow/brow,n. 眉毛,初級,She raised her eyebrows in surprise.,她驚訝地挑了挑眉。
factor,n. 因素；代理人；因數,中級,"1. Weather is an important factor in deciding the event date. 2. In math, a factor is a number that divides another number evenly.",1. 天氣是決定活動日期的重要因素。 2. 在數學中，因數是指能整除另一個數的數。
failure,n. 失敗,中級,"Despite his failure, he never gave up.",儘管失敗了，但他從未放棄。
fashion,n. 流行樣式；時尚 v. 製作；把...塑造成,中級,1. The dress was made in the fashion of the 1920s. 2. She loves keeping up with the latest fashion trends. 3. The artist fashioned a sculpture out of clay.,1. 這件洋裝是按照20世紀20年代的風格製作的。 2. 她喜歡追逐最新的時尚潮流。 3. 這位藝術家用黏土製作了一個雕塑。
fate,n. 命運,中級,Some people believe that fate determines everything in life.,有些人認為命運決定了人生的一切。
favor,n. 幫忙；贊成；偏袒 v. 支持；贊同；偏袒,中級,1. Can you do me a favor and help me with this? 2. She showed favor to the new employee. 3. The teacher favored students who participated actively.,1. 你能幫我個忙嗎？ 2. 她對新進員工很優待。 3. 老師偏愛積極參與課堂的學生。
feature,n. 特徵，特色 v. 以...為特色,中級,1. The smartphone has many useful features. 2. The festival features local artists and musicians.,1. 這款智慧型手機有許多實用功能。 2. 這個節日以當地藝術家和音樂家為特色。
fellow,n. 夥伴；學術會員,中級,He seems like a nice fellow.,他看起來是個不錯的人。
female,adj. 女性的 n. 女性,初級,1. She was the first female president of the country. 2. The doctor is a female.,1. 她是該國第一位女總統。 2. 這位醫生是位女性。
field,n. 田野，原野；領域；欄位,中級,1. The cows are grazing in the field. 2. She is an expert in the field of medicine.,1. 牛群正在田野裡吃草。 2. 她是醫學領域的專家。
figure,n. 體型，外型；人物(尤指知名人物)；數字；圖表 v. 估計；描繪,中級,1. She has a slim figure. 2. He is a well-known figure in the music industry. 3. Can you read this figure? 4. Look at figure 2 in the textbook. 5. I figure he’ll be late again.,1. 她身材苗條。 2. 他是音樂界一位知名人士。 3. 你能讀懂這個圖嗎？ 4. 請看課本上的圖2。5. 我覺得他又要遲到了。
